Processes iZ25qtxwjqdZ,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2015-12-09 14:18:18,1,1,28635.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:19,5,0,24987.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:20,2,0,29416.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:21,2,0,30186.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:22,1,0,31005.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:23,6,1,32069.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:24,7,0,32657.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:25,1,0,34363.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:26,7,0,29746.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:27,6,0,32378.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:28,7,1,31287.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:29,2,0,30252.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:30,2,0,29503.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:31,3,0,31150.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:32,10,0,33285.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:33,3,1,33210.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:34,1,0,24829.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:35,7,0,30701.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:36,7,0,30724.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:37,7,0,30033.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:38,1,1,27173.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:39,1,0,26979.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:40,5,0,34480.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:41,2,0,31136.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:42,6,0,31181.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:43,3,1,31216.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:44,1,0,30883.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:45,3,0,28269.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:46,3,0,31228.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:47,3,0,31033.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:48,2,2,29437.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:49,1,0,31062.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
