CPU 2 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:18:35,17.2,8.0,0.0,74.7
2015-12-09 14:18:36,18.2,8.0,0.0,73.9
2015-12-09 14:18:37,16.9,6.7,0.0,76.4
2015-12-09 14:18:38,17.0,4.5,0.0,78.4
2015-12-09 14:18:39,15.6,5.6,0.0,78.9
2015-12-09 14:18:40,21.6,8.0,0.0,70.5
2015-12-09 14:18:41,19.3,6.8,0.0,73.9
2015-12-09 14:18:42,20.5,6.8,0.0,72.7
2015-12-09 14:18:43,18.7,7.7,0.0,73.6
2015-12-09 14:18:44,19.8,8.8,4.4,67.0
2015-12-09 14:18:45,19.1,5.6,0.0,75.3
2015-12-09 14:18:46,22.7,6.8,0.0,70.5
2015-12-09 14:18:47,21.3,7.9,0.0,70.8
2015-12-09 14:18:48,16.9,6.7,0.0,76.4
2015-12-09 14:18:49,20.2,6.7,25.8,47.2
2015-12-09 14:18:50,20.5,6.8,0.0,72.7
2015-12-09 14:18:51,20.0,7.8,0.0,72.2
2015-12-09 14:18:52,17.8,7.8,0.0,74.4
2015-12-09 14:18:53,17.0,6.8,1.1,75.0
2015-12-09 14:18:54,15.4,6.6,14.3,63.7
2015-12-09 14:18:55,20.5,6.8,0.0,72.7
2015-12-09 14:18:56,20.0,7.8,0.0,72.2
2015-12-09 14:18:57,21.6,5.7,0.0,72.7
2015-12-09 14:18:58,20.2,7.9,0.0,71.9
2015-12-09 14:18:59,20.2,7.9,36.0,36.0
2015-12-09 14:19:00,20.7,5.7,0.0,73.6
2015-12-09 14:19:01,17.0,6.8,0.0,76.1
2015-12-09 14:19:02,18.7,7.7,0.0,73.6
2015-12-09 14:19:03,14.6,5.6,12.4,67.4
2015-12-09 14:19:04,19.6,8.7,28.3,43.5
2015-12-09 14:19:05,23.0,8.0,0.0,69.0
2015-12-09 14:19:06,21.3,7.9,0.0,70.8
2015-12-09 14:19:07,17.6,6.6,0.0,75.8
2015-12-09 14:19:08,18.2,6.8,12.5,62.5
2015-12-09 14:19:09,15.7,5.6,28.1,50.6
2015-12-09 14:19:10,21.1,6.7,1.1,71.1
2015-12-09 14:19:11,19.0,6.0,0.0,75.0
2015-12-09 14:19:12,20.5,8.0,0.0,71.6
2015-12-09 14:19:13,22.2,7.8,0.0,70.0
2015-12-09 14:19:14,17.2,4.6,0.0,78.2
2015-12-09 14:19:15,19.5,5.7,0.0,74.7
2015-12-09 14:19:16,19.3,8.0,0.0,72.7
2015-12-09 14:19:17,20.7,6.9,0.0,72.4
2015-12-09 14:19:18,20.0,8.9,0.0,71.1
2015-12-09 14:19:19,17.0,5.7,35.2,42.0
2015-12-09 14:19:20,18.7,8.8,0.0,72.5
2015-12-09 14:19:21,20.5,5.7,0.0,73.9
2015-12-09 14:19:22,16.9,6.7,0.0,76.4
2015-12-09 14:19:23,17.8,6.7,12.2,63.3
2015-12-09 14:19:24,16.7,6.7,24.4,52.2
2015-12-09 14:19:25,22.5,7.9,0.0,69.7
2015-12-09 14:19:26,17.6,7.7,0.0,74.7
2015-12-09 14:19:27,18.4,6.9,0.0,74.7
2015-12-09 14:19:28,17.8,5.6,10.0,66.7
2015-12-09 14:19:29,20.0,7.8,8.9,63.3
2015-12-09 14:19:30,18.9,6.7,0.0,74.4
2015-12-09 14:19:31,21.1,7.8,0.0,71.1
2015-12-09 14:19:32,20.0,6.7,0.0,73.3
2015-12-09 14:19:33,18.0,6.7,10.1,65.2
