Disk Write KB/s iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:18:31,19.9,19.9,0.0,0.0
2015-12-09 14:18:32,0.0,0.0,0.0,0.0
2015-12-09 14:18:33,0.0,0.0,3629.7,3629.7
2015-12-09 14:18:34,28.0,28.0,22113.0,22113.0
2015-12-09 14:18:35,0.0,0.0,0.0,0.0
2015-12-09 14:18:36,23.9,23.9,0.0,0.0
2015-12-09 14:18:37,0.0,0.0,0.0,0.0
2015-12-09 14:18:38,0.0,0.0,5232.7,5232.7
2015-12-09 14:18:39,32.0,32.0,19331.6,19331.6
2015-12-09 14:18:40,0.0,0.0,0.0,0.0
2015-12-09 14:18:41,27.9,27.9,0.0,0.0
2015-12-09 14:18:42,0.0,0.0,0.0,0.0
2015-12-09 14:18:43,0.0,0.0,6683.0,6683.0
2015-12-09 14:18:44,32.0,32.0,19781.2,19781.2
2015-12-09 14:18:45,0.0,0.0,0.0,0.0
2015-12-09 14:18:46,24.0,24.0,0.0,0.0
2015-12-09 14:18:47,0.0,0.0,0.0,0.0
2015-12-09 14:18:48,0.0,0.0,5028.8,5028.8
2015-12-09 14:18:49,0.0,0.0,19637.6,19637.6
2015-12-09 14:18:50,0.0,0.0,0.0,0.0
2015-12-09 14:18:51,0.0,0.0,0.0,0.0
2015-12-09 14:18:52,12.0,12.0,0.0,0.0
2015-12-09 14:18:53,0.0,0.0,5200.7,5200.7
2015-12-09 14:18:54,0.0,0.0,18752.0,18752.0
2015-12-09 14:18:55,0.0,0.0,0.0,0.0
2015-12-09 14:18:56,0.0,0.0,0.0,0.0
2015-12-09 14:18:57,12.0,12.0,0.0,0.0
2015-12-09 14:18:58,0.0,0.0,4767.9,4767.9
2015-12-09 14:18:59,0.0,0.0,21382.6,21382.6
2015-12-09 14:19:00,0.0,0.0,0.0,0.0
2015-12-09 14:19:01,0.0,0.0,0.0,0.0
2015-12-09 14:19:02,12.0,12.0,0.0,0.0
2015-12-09 14:19:03,0.0,0.0,5680.6,5680.6
2015-12-09 14:19:04,0.0,0.0,18343.8,18343.8
2015-12-09 14:19:05,0.0,0.0,0.0,0.0
2015-12-09 14:19:06,0.0,0.0,0.0,0.0
2015-12-09 14:19:07,16.0,16.0,0.0,0.0
2015-12-09 14:19:08,0.0,0.0,5628.5,5628.5
2015-12-09 14:19:09,0.0,0.0,19676.6,19676.6
2015-12-09 14:19:10,0.0,0.0,0.0,0.0
2015-12-09 14:19:11,0.0,0.0,0.0,0.0
2015-12-09 14:19:12,0.0,0.0,0.0,0.0
2015-12-09 14:19:13,12.0,12.0,5176.6,5176.6
2015-12-09 14:19:14,16.0,16.0,21022.5,21022.5
2015-12-09 14:19:15,0.0,0.0,0.0,0.0
2015-12-09 14:19:16,0.0,0.0,0.0,0.0
2015-12-09 14:19:17,0.0,0.0,0.0,0.0
2015-12-09 14:19:18,0.0,0.0,4957.0,4957.0
2015-12-09 14:19:19,52.0,52.0,23474.9,23474.9
